name_tejary,mavared_masraf,avarez_janebi,amozesh,tavajohat
Coricidindemilets, دارو ترکیب استامینوفن آنتی هیستامین فنیل پروپانول آمین کلرفنیر آمین درمان سرماخوردگی آبریز بینی عطسه تب کار رود ,خواب آلودگی قرار یبوست سرگیجه اسهال ضعف عموم, دارو گیجید#گیج خواب آلودگی همراه شستشو همزمان دهان جلو خشکی دهان گرفت#گیر , دارو خاصیت ضد درد ضد تب ضد احتقان وضعیت تنفس بیمار گرفت#گیر 
Akineton,پارکینسون علائم اکستراپیرامیدال مسمویت دارویی مثلا مسمومیت دارو ضد استفراغ تزریق خوراک متوکلو پرامید,یبوست استعداد گرمازدگی خشکی دهان استفراغ احتباس ادرار, صورت مصرف دارو احتباس ادرار پزشک اطلاع داد#ده هوا گرم افزایش گرمازدگی ,قرص خوراک غذا میل تزریق ورید آهسته صورت صورت خشکی دهان استفاده مایعات آدامس مفید 
Buscopan,درمان کمک زخم معده اسهال درد اسپاسمی زخم روده بیمار حرکت ضد استفراغ اختیار ادرار درد قاعدگی,,مصرف خودسرانه دارو توانست#توان خطرناک درد های شکم مداوم مجوز پزشک مصرف شد#شو اسهال خون عفونی استفاده , دارو کاهش درد شکم علامت بیمار اسهال کمک 
Cogentin,علائم مغذی بیمار پارکینسون اکستراپیرامیدال,یبوست حساس گرمازدگی کاهش فشار خون علائم گیجید#گیج جزئ مه عوارض ,سالمند میزان بالا حساس قطع ناگهانی دارو پرهیخت#پرهیز ,ضعف عضلانی جزء عوارض افسردگی تهوع بیمار یاد آور شد#شو 
Cyclogyl, آماده چشم معاینه چشم پزشک,سردرد اختلال شدید اختلال خواب تار دید اشک ریزش اختلال تکلم, صورت برروز علائم عموم پزشک اطلاع داد#ده , دارو جذب عموم سیستمیک دارو میتواند عامل اختلال خلق رفتار 
Dizymes,کمبود آنزیم پانکراتین سرطان لوزوالمعده درمان جراح برداشت روده,"سردرد ,تهوع استفراغ",دارو غذا مصرف جویدن قرص پرهیز ,کاهش حرکات گوارش سفت مدفوع جزء علائم جواب درمان 
Elspar, سرطان خون لوسمی منفوسیتی حاد ,"سر درد تشنج اختلال هوشیاری, مشکل کلیه ها کبد خون", صورت درد شکم تهوع استفراغ زرد تب خونریزی ادرار حجم زخم دهان پزشک مراجعه بیمار تماس بیمار عفونی پرهیخت#پرهیز محل شلوغ کرد#کن ,آزمایش های خون کلیه وکبد ضروری حین تجویز دارو علائم حیاتی بیمار کنترل 
Plasmin, سوختگی درمان زخم ها,مشکلات موضع التهاب واکنش افتاد#افت, خاص , پماد تمیز زخم پاکسازی بافت های مرده زخم ها سوختگی ها 
Onoton,"بیمار های گوارش کیسه صفرا پانکراس, عمل جراح معده درمان اسهال جراح برداشتن معده درمان نفخ",تهوع اسهال درد شکم حمله عوارض ,ارجح بیمار مصرف دارو مقدار غذا خورد#خور قرص جویده , دارو آنتی اسید ها تداخل دارو آثار ضد نفخ 
Benadryl,علائم آلرژی کهیر پرخون چشم بیمار های خارش دارپوستی حساسیت شدید درمان پارکینسون دیستونی حاد,خواب آلودگی تپش قلب یبوست خشکی دهان سردرد سرگیجه خوابید#خواب لرزش تشدید حملات آسم تشنج, مصرف رانندگی اجتناب ,"مصرف دارو همراه غذا مفید تر ضد تهوع مطلوب مسافرت صورت فشار خون, علائم چاقید#چاق مصرف اندازه "
Dramamine,تهوع استفراع اختلالات تعادل واسطه مشکل گوش داخل,خواب آلودگی ضعف عموم سردرد خشکی دهان تشنج فشار خون , دارو مقدار غذا مصرف رانندگی کار ظریف انجام , جلوگیری خشکی دهان مایعات تجویز دارو خواب آور الکل تشدید علائم 
Tavegil,حساسیت ها کهیر آنژیوادم ریزش آب بینی حساسیت التهاب ملتحمه چشم بیمار پوست خارش ,خواب آلودگی لرز گیجید#گیج, صورت خواب آلودگی رانندگی ممنوع ,دارو آب غذا شیر مصرف احتمال کاهش فشار خون 
------, بیهوشی عنوان دارو کمک استفاده , عوارض شدید استفراغ تشنج رفتن قند خون تحریک مجاری تنفس امروزه کمتر استفاده ,بیمار بایست اطلاعات دارویی پزشک ثبت تاریخچه پزشک ارئه نمود#نما دارو کاهش فشار خون کاهش حجم ادرار ,امروزه گاز های هالوژن جایگزین اتر 
Hydergine, درمان دمانس زوال عقلی سالمند,تهوع استفراغ زخم های دهان,اختلالات گوارش , ظهور علائم بهبود ماه وقت 
Seromycin,درمان سل ریوی خارج ریه,ضایعات پوست ضعف سردرد بیقراری تحریک پذیرفت#پذیر,تار دید زرد توانست#توان دوره درمان دارو غذا مصرف , همراه دارو ویتامین B 6 تجویز 
Darabolin, درمان خون بیمار های کلیوی درمان سرطان پستان صورت کمک توجه خاصیت تستسترونی ورزشکار رشته بدنسازی افزایش حجم عضلات, مویی صورت اندازه سینه ها آکنه مویی بدن تهوع استفراغ افزایش اشتها طاس سر مشکلات قاعدگی نکروز کبد خلق خو افسردگی, بیمار توصیه آهن مصرف صورت تهوع استفراغ شدید پزشک اطلاع داد#ده , سنین بلوغ ممنوع سطح کلسیم سرید#سر کنترل تست های کبد انجام 
----------, درمان عفونت ها التهاب های پوست, تجویز خوراک تهوع استفراغ میکند تجویز ورید ترکیب محل تزریق اسپاسم ورید دیده , خاص , خوراک ضایعات کبد میکند 
Anadrol, درمان خون تقویت عضلات افزایش آنابولیسم ورزشکار حرفه ای بدنسازی سوء استفاده , مویی صورت اندازه سینه ها آکنه مویی بدن تهوع استفراغ افزایش اشتها طاس سر مشکلات قاعدگی نکروز کبد خلق خو افسردگی, بیمار توصیه آهن مصرف صورت تهوع استفراغ شدید پزشک اطلاع داد#ده , سنین بلوغ ممنوع سطح کلسیم سرید#سر کنترل تست های کبد انجام 
Premarin,"درمان علائم گرگرفتگی یائسگی درمان استئوپورز, ضد نئوپلاسم شکایت های مجرای ادرار تناسلی زن یائسه, کمبود استروژن","تهوع سر درد اضطراب ریزش مو کرامپ شکم اسهال خارش علائم آنفولانزا, هیپرکلسیمی, احتمال سرطان رحم سرطان سینه ضایعات کبد","بیمار مکرر معاینه پستان رحم کرم واژینال دستور استفاده احتمال اختلالات بینایی دارد, پزشک اطلاع داد#ده ",کنترل فشار خون چربی خون معمول منظم انجام صورت تزریق ورید آهستگی انجام داد#ده تزریق عضلانی توسط پرستار صورت عمیق صورت 
Vitacarn,کمبود کارنیتین برنامه های بدنسازی تقویت عضلانی جلوگیری کرامپ عضلانی همودیالیز,تهوع اسهال بو بدن,بیمار دارو فاصله 3 4 ساعت مصرف ,پزشک معالج بایست سطح کارنیتین درمان اندازه گرفت#گیر 
Indocid, درمان درد خفیف متوسط تب ضد التهاب بیمار های التهاب رماتیسم آرتروز تورم مفاصل,سردرد سر گیجه سبک سر خونریزی معده عوارض کلیوی زرد مشکلات خون,آزمایش های کنترل عملکرد کبد کلیوی انجام دارو باشیر شربت آلومینیوم میل قرص جویده دارو زمان درد های قاعدگی استفاده ,بیمار زرد ادرار شبز بایست دارو قطع تست های کبد انجام 
Panthoderm,التهاب موضع پوست اگزما خارش حساسیت تحریک پوست,مشکل خاص گزارش شد#شو , گزش حشرات ضایعات التهاب پوست کاربرد زخم ضایعات عفونی مفید ,مسئله خاص 
