name,description,indication
Midomafetamine, n-substituted amphetamine analog widely abused drug classified hallucinogen cause marked long-lasting change brain serotonergic system commonly referred mdma ecstasy widely abused drug classified hallucinogen cause marked long-lasting change brain serotonergic system ,clinical trial testing therapeutic potential mdma post-traumatic stress disorder ptsd anxiety associated terminal cancer mdma one four widely used illicit drug u.s 
5-androstenedione,5-androstenedione prohormone testosterone united state controlled substance act inclusive anabolic steroid precursor thus 5-androstenedione controlled substance use athlete prohibited world anti-doping agency apart positioning carbon-carbon double bond structure similar 4-androstenedione prohormone naturally produced body adrenal gland gonad act precursor testosterone well estrone estradiol ,
Bezitramide,bezitramide narcotic analgesic discovered 1961 clinically tested around 1970 's a14383 marketed name burgodin case fatal overdose netherlands 2004 drug withdrawn market bezitramide never fda approved currently schedule ii drug , narcotic analgesic used treatment severe chronic pain a14383 
Diethyltryptamine,diethyltryptamine det orally active hallucinogenic agent substituted form tryptamine ,
Dimenoxadol,dimenoxadol opioid analgesic produce typical opioid effect analgesia sedation structurally similar methadone benzilic acid derivative united state classified schedule controlled drug ,
Fencamfamin,fencamfamin glucoenergan reactivan stimulant developed 1960s appetite suppressant later withdrawn application due problem dependence abuse around half potency dexamphetamine prescribed dose 10-60mg although abuser drug tend rapidly develop tolerance escalate dose fencamfamin used treating depressive day-time fatigue lack concentration lethargy especially useful patient chronic condition due favourable safety profile , treatment depressive fatigue convalescence debilitated state well treatment depressive day-time fatigue lack concentration lethargy 
Ethylmorphine, narcotic analgesic antitussive metabolized liver ethylmorphine-n-demethylase used indicator liver function marketed u approved use various country around world u schedule ii drug single-entity schedule iii drug combination product ,ethylmorphine analgesic used pain relief 
alpha-methylthiofentanyl,alpha-methylthiofentanyl opioid analgesic analog fentanyl ,
Betaprodine, opioid analgesic chemically related action resembling meperidine rapid onset shorter duration used obstetrics pre-operative medication minor surgical procedure dental procedure martindale extra pharmacopoeia 30th ed p1067 ,
Desmethylprodine,desmethylprodine derivative meperidine opioid analgesic potency morphine listed schedule controlled drug united state thus used clinically known designer drug synthesized 1977 purpose recreational use illicit manufacturing occurred ,
1-Testosterone,"1-testosterone anabolic steroid differs testosterone 1,2-double bond instead 4,5-double bond ring ",
Barbital, long-acting barbiturate depresses metabolic process high dos used hypnotic sedative may induce dependence barbital also used veterinary practice central nervous system depression barbital schedule iv controlled drug ,
4-Hydroxytestosterone,4-hydroxytestosterone testosterone substituted hydroxy group fourth carbon atom anabolic steroid therapeutic indication prohibited use sport world anti-doping agency formestane lentaron act prohormone 4-hydroxytestosterone 4-hydroxytestosterone one many byproduct formestane metabolism specifically 17-hydroxylated analog formestane a14385 like formestane 4-hydroxytesterone patented use decreasing estrogen production body indication currently exists 4-hydroxytestosterone first patented 1955 g.d searle company ,
Cathine,cathine also known d-norpseudoephedrine -norpseudoephedrine psychoactive drug stimulant property belongs phenethylamine amphetamine chemical class united state classified schedule iv controlled substance ,used decrease appetite 
Dimethyltryptamine, n-methylated indoleamine derivative serotonergic hallucinogen found several plant especially prestonia amazonica apocynaceae mammalian brain blood urine apparently act agonist type serotonin receptor antagonist others , people use compound psychedelic inducing agent 
Camazepam,camazepam benzodiazepine dimethyl carbamate ester tamzepam metabolite diazepam similarly drug class antxiolytic anticonvulsant hypnotic skeletal muscle relaxant property however unlike benzodiapeines camazepam predominantly anxiolytic relatively weak anticonvulsant hypnotic skeletal muscle relaxant camazepam also le side effect impaired cognition reaction time compared benzodiazepine however impairment cognition disrupted sleep pattern occur dos higher 40mg carazepam camazepam also believed increase attention associated skin disorder united state camazepam regulated schedule iv controlled substance ,camazepam used placebo controlled study treatment patient suffering anxiety depression 
Aminorex,aminorex amphetamine-like anorectic agent may cause pulmonary hypertension ,
Ethylestrenol, anabolic steroid progestational activity little androgenic effect pubchem ,
Dichloralphenazone,dichloralphenazone sedative composed chloral hydrate phenazone typically found combination product nodolor midrin containing isometheptene acetaminophen used relief tension vascular headache u schedule iv drug clinical use limited ,
Etorphine, narcotic analgesic morphinan used sedative veterinary practice certain country etorphine classified schedule 1 drug hence country used legally health professional research purpose etorphine available patient official prescription u etorphine listed schedule drug although etorphine hydrochloride classified schedule ii ,etorphine available use veterinary main usage related immobilization large mammal 
Alphameprodine,alphameprodine opioid analgesic classified united state drug enforcement administration schedule illegal substance stereoisomer betameprodine similarly classified however alphameprodine widely used referred meprodine alphameprodine structural analogue meperidine exerts physiological effect characteristic opioids analgesia euphoria sedation well itching nausea respiratory depression ,
Difenoxin,difenoxin 4-phenylpiperidine closely related opioid analgesic meperidine difenoxin alone usa schedule controlled drug may habit forming however listed schedule iv controlled drug combined atropine added decrease deliberate misuse motofen r brand mixture combine atropine sulfate difenoxin hydrochloride approved fda treat acute chronic diarrhea difenoxin active metabolite anti-diarrheal drug diphenoxylate also used combination atropine brand mixture lomotil r work mostly periphery activates opioid receptor intestine rather central nervous system cns 3 difenoxin also closely related loperamide unlike loperamide still capable crossing blood brain barrier produce weak sedative analgesic effect however antidiarrheal potency difenoxin much greater cns effect make attractive alternative opioids ,motofen r combination atropine anticholinergic drug difenoxin antidiarrheal drug used many country many year second line opioid-agonist antidiarrheal exists intermediate loperamide paragoric 2 diarrhea result cyclic diarrhea predominant inflammatory bowel syndrome may treated effectively difenoxin diphenoxylate loperamide diarrhea cramping respond non-centrally acting derivative belladonna derivative atropine often treated conservative dos codeine patient acute ulcerative colitis induction toxic megacolon possible thus use motofen r cautioned motofen r assigned pregnancy category c fda used potential benefit outweigh potential risk fetus safety use lactation unknown thus recommended 
